* PE code,,,,
* C Part, (optional),,,
*     blank = SHEF PE code,,,,
* Data Unit (required),,,,
* Data Type (required),,,,
*     * = infer data type from SHEF parameter,,,,
* Conversion (optional),,,,
*     number = numerical factor,,,,
*     hm2h = hhmm->decimal h,,,,
*     dur2h = MW<duration> -> MWh for (VK VL VM VR),,,,
*********************************************************,,,,
*PE Code,C Part,Data Unit,Data Type,Conversion
AD,,,,
AF,Code-Surface Frost,n/a,*,
AG,%-Green Vegetation,%,*,
AM,Code-Surface Dew,n/a,*,
AT,Timing-Below 25F,hr,*,hm2h
AU,Timing-Below 32F,hr,*,hm2h
AW,Timing-Leaf Wetness,hr,*,hm2h

BA,Depth-Water Equiv Solid,in,*,
BB,Depth-Heat Deficit,in,*,
BC,Depth-Liquid Water Stor,in,*,
BD,Temp-Index,F,*,
BE,Depth-Max Water Equiv,in,*,
BF,Depth-Areal Water Equiv,in,*,
BG,%-Snow Cover-Depl Curve,%,*,
BH,Depth-Water Equiv Limit,in,*,
BI,Depth-Excess Liq Wtr Stor,in,*,
BJ,Depth-Areal Snow Cov Adj,in,*,
BK,Depth-Lag Exc Wtr Intv 1,in,*,
BL,Depth-Lag Exc Wtr Intv 2,in,*,
BM,Depth-Lag Exc Wtr Intv 3,in,*,
BN,Depth-Lag Exc Wtr Intv 4,in,*,
BO,Depth-Lag Exc Wtr Intv 5,in,*,
BP,Depth-Lag Exc Wtr Intv 6,in,*,
BQ,Depth-Lag Exc Wtr Intv 7,in,*,

CA,Depth-Upr Zone Tens Wtr,in,*,
CB,Depth-Upr Zone Free Wtr,in,*,
CC,Depth-Lwr Zone Tens Wtr,in,*,
CD,Depth-Sup Lwr Zone Fr Wtr,in,*,
CE,Depth-Pri Lwr Zone Fr Wtr,in,*,
CF,Depth-Addl Imperv Area,in,*,
CG,Depth-Ante Precip Indx,in,*,
CH,Depth-Soil Moist Indx Def,in,*,
CI,Depth-Base Flow Stor,in,*,
CJ,Depth-Base Flow Indx,in,*,
CK,Depth-Ante Evap Indx Q1,in,*,
CL,Temp-Ante Index Quad 1,F,*,
CM,Temp-Frost Index,F,*,
CN,%-Frost Efficiency Idx,%,*,
CO,Code-Quadrant 1 Indx Ind,n/a,*,
CP,Precip-Storm Total,in,*,
CQ,Precip-Storm Total Runoff,in,*,
CR,Depth-Ante Indx-Storm,in,*,
CS,Depth-Ante Indx-Current,in,*,
CT,Count-Storm Period,unit,*,
CU,Temp-Air-Aver,F,*,
CV,Temp-Cur Corrected Synth,F,*,
CW,Depth-Ante Evap Indx-Storm,in,*,
CX,Depth-Ante Evap Indx,in,*,
CY,Depth-Ante Precip Indx,in,*,
CZ,Code-Climate Index,n/a,*,

EA,Depth-ET Potential,in,*,
ED,Depth-Evaopration Pan,in,*,
EM,Depth-ET,in,*,
